Date,Order,Count
Fall 2015,Araneae,15
Fall 2015,Coleoptera,700
Fall 2015,Collembola,1
Fall 2015,Diplopoda,1
Fall 2015,Diptera,1007
Fall 2015,Gastropoda,0
Fall 2015,Hemiptera,6
Fall 2015,Hymenoptera,192
Fall 2015,Lepidoptera,129
Fall 2015,Mite,2
Fall 2015,Neuroptera,0
Fall 2015,Opiliones,0
Fall 2015,Orthoptera,0
Fall 2015,Psocoptera,0
Fall 2015,Trichoptera,1
Spring 2016,Araneae,33
Spring 2016,Coleoptera,1265
Spring 2016,Collembola,3
Spring 2016,Diplopoda,0
Spring 2016,Diptera,594
Spring 2016,Gastropoda,1
Spring 2016,Hemiptera,12
Spring 2016,Hymenoptera,36
Spring 2016,Lepidoptera,21
Spring 2016,Mite,0
Spring 2016,Neuroptera,0
Spring 2016,Opiliones,4
Spring 2016,Orthoptera,0
Spring 2016,Psocoptera,0
Spring 2016,Trichoptera,0
Summer 2016,Araneae,11
Summer 2016,Coleoptera,1573
Summer 2016,Collembola,0
Summer 2016,Diplopoda,0
Summer 2016,Diptera,155
Summer 2016,Gastropoda,0
Summer 2016,Hemiptera,10
Summer 2016,Hymenoptera,94
Summer 2016,Lepidoptera,493
Summer 2016,Mite,2
Summer 2016,Neuroptera,0
Summer 2016,Opiliones,1
Summer 2016,Orthoptera,1
Summer 2016,Psocoptera,1
Summer 2016,Trichoptera,0
Fall 2016,Araneae,199
Fall 2016,Coleoptera,682
Fall 2016,Collembola,0
Fall 2016,Diplopoda,0
Fall 2016,Diptera,3545
Fall 2016,Gastropoda,0
Fall 2016,Hemiptera,8
Fall 2016,Hymenoptera,693
Fall 2016,Lepidoptera,153
Fall 2016,Mite,1
Fall 2016,Neuroptera,1
Fall 2016,Opiliones,2
Fall 2016,Orthoptera,1
Fall 2016,Psocoptera,0
Fall 2016,Trichoptera,1
